user_id,station_id,ts,clicks_1h,clicks_24h,purchases_7d,y
420,11,2025-01-15T11:44:00,2,7,0,0
204,46,2025-01-10T08:37:00,4,11,0,0
436,44,2025-01-28T15:48:00,3,2,0,0
339,24,2025-01-04T11:19:00,0,4,2,1
492,24,2025-01-30T06:13:00,3,5,1,1
334,18,2025-01-29T08:44:00,2,3,0,0
138,21,2025-01-12T12:08:00,2,5,1,0
313,43,2025-01-18T13:57:00,0,7,0,1
133,22,2025-01-14T01:27:00,4,5,0,0
44,16,2025-01-19T19:55:00,0,5,0,0
406,2,2025-01-05T13:38:00,1,8,1,1
284,34,2025-01-16T23:28:00,0,7,0,1
129,15,2025-01-06T19:47:00,1,3,0,0
99,14,2025-01-23T08:52:00,1,9,1,0
427,13,2025-01-14T19:34:00,2,8,2,1
499,4,2025-01-26T12:24:00,0,11,0,1
7,37,2025-01-14T06:34:00,0,5,1,0
245,8,2025-01-04T07:22:00,1,6,0,1
289,20,2025-01-05T05:02:00,3,7,1,0
116,50,2025-01-25T02:47:00,0,9,0,1
292,40,2025-01-04T01:47:00,0,1,1,1
339,6,2025-01-08T11:32:00,2,10,1,0
241,19,2025-01-02T19:39:00,2,11,0,0
474,17,2025-01-29T18:43:00,0,2,1,1
77,18,2025-01-07T19:21:00,3,8,0,1
148,29,2025-01-06T23:49:00,0,5,0,0
225,6,2025-01-28T13:12:00,4,9,0,1
493,44,2025-01-27T12:16:00,1,5,1,0
391,49,2025-01-09T07:21:00,0,5,1,0
326,32,2025-01-05T11:39:00,0,5,0,1
211,45,2025-01-23T21:11:00,0,12,1,0
162,17,2025-01-16T01:06:00,4,12,2,1
446,35,2025-01-22T08:36:00,0,6,0,0
390,4,2025-01-10T14:20:00,1,7,0,1
15,41,2025-01-29T01:03:00,2,2,0,0
116,8,2025-01-22T08:01:00,4,7,2,1
362,18,2025-01-20T05:49:00,4,1,1,1
472,39,2025-01-24T11:08:00,1,4,2,0
175,33,2025-01-13T11:49:00,2,4,0,0
251,10,2025-01-21T15:44:00,0,4,0,0
165,13,2025-01-12T04:50:00,0,4,1,0
362,25,2025-01-18T21:42:00,5,9,0,0
65,33,2025-01-28T04:38:00,1,7,1,0
8,47,2025-01-07T21:27:00,0,7,1,0
174,40,2025-01-19T10:09:00,0,0,2,0
163,41,2025-01-23T12:58:00,2,6,2,0
117,48,2025-01-05T10:43:00,1,6,0,0
356,20,2025-01-02T15:37:00,5,11,0,1
272,27,2025-01-27T02:08:00,1,4,1,1
350,16,2025-01-23T23:35:00,2,6,0,1
5,30,2025-01-14T10:10:00,1,4,0,0
328,28,2025-01-12T17:10:00,0,5,2,1
196,37,2025-01-17T16:04:00,0,0,0,1
141,1,2025-01-27T02:08:00,4,5,3,0
427,19,2025-01-11T19:21:00,0,3,0,0
370,50,2025-01-31T08:00:00,1,4,2,1
404,29,2025-01-02T20:26:00,0,2,1,0
90,13,2025-01-07T08:21:00,2,1,0,1
85,17,2025-01-23T06:18:00,3,7,2,0
39,10,2025-01-11T14:25:00,4,5,3,0
188,6,2025-01-19T06:58:00,4,9,0,0
300,25,2025-01-30T09:27:00,2,6,1,0
288,21,2025-01-29T02:22:00,2,8,1,0
210,8,2025-01-07T16:40:00,2,7,1,1
276,9,2025-01-19T00:30:00,0,6,0,0
381,47,2025-01-08T08:46:00,4,6,1,0
144,3,2025-01-18T04:43:00,2,10,1,0
189,35,2025-01-30T16:19:00,0,7,1,0
233,6,2025-01-10T23:40:00,0,1,2,1
65,37,2025-01-10T16:08:00,5,12,1,0
169,50,2025-01-08T01:10:00,2,3,0,0
277,17,2025-01-09T06:35:00,5,13,1,0
302,21,2025-01-02T01:14:00,2,7,0,0
244,29,2025-01-17T19:26:00,1,5,0,1
402,43,2025-01-25T01:33:00,1,10,4,0
219,44,2025-01-06T05:55:00,0,5,1,0
34,9,2025-01-13T20:23:00,0,2,0,0
151,30,2025-01-24T08:11:00,1,5,0,0
394,36,2025-01-11T02:51:00,0,7,0,1
374,7,2025-01-15T13:23:00,0,6,0,0
35,6,2025-01-05T05:14:00,2,7,0,0
301,36,2025-01-26T21:30:00,1,7,0,0
445,47,2025-01-03T16:11:00,4,8,0,1
337,31,2025-01-11T12:56:00,3,5,0,1
116,28,2025-01-26T20:43:00,5,9,0,1
476,43,2025-01-13T12:07:00,3,8,1,0
93,10,2025-01-27T02:34:00,1,5,0,0
272,14,2025-01-18T10:54:00,0,6,0,0
291,39,2025-01-05T04:47:00,2,5,1,1
227,43,2025-01-20T15:08:00,0,5,0,1
221,8,2025-01-14T05:22:00,0,1,0,1
307,4,2025-01-01T16:23:00,3,14,1,0
62,1,2025-01-23T23:16:00,1,4,0,1
427,43,2025-01-17T10:50:00,5,12,1,0
442,21,2025-01-27T12:52:00,0,6,0,0
495,21,2025-01-09T03:43:00,2,3,2,1
433,7,2025-01-12T09:45:00,0,6,2,0
114,22,2025-01-08T23:38:00,4,10,0,0
180,47,2025-01-30T16:59:00,2,4,1,0
390,49,2025-01-31T03:59:00,6,14,0,0
297,29,2025-01-27T00:34:00,0,0,0,1
226,5,2025-01-22T16:11:00,0,5,0,0
159,30,2025-01-21T21:36:00,3,8,0,0
47,40,2025-01-28T08:53:00,0,4,0,0
231,37,2025-01-30T23:58:00,3,11,0,1
416,22,2025-01-05T04:06:00,0,4,1,1
268,40,2025-01-08T13:23:00,0,10,0,0
27,41,2025-01-30T19:01:00,1,8,0,1
437,43,2025-01-28T18:18:00,3,6,0,1
496,42,2025-01-19T04:07:00,4,12,2,1
169,9,2025-01-25T06:57:00,4,11,0,1
487,14,2025-01-16T21:15:00,4,7,1,1
433,7,2025-01-24T10:31:00,2,1,1,1
393,40,2025-01-07T07:08:00,1,5,1,1
463,11,2025-01-21T06:03:00,3,8,0,0
386,48,2025-01-21T18:20:00,2,9,2,0
100,24,2025-01-27T07:03:00,4,8,0,1
495,11,2025-01-10T10:07:00,2,5,0,0
284,7,2025-01-24T19:30:00,2,5,1,0
76,28,2025-01-05T12:10:00,3,7,0,1
28,26,2025-01-24T04:19:00,0,7,1,1
51,46,2025-01-30T21:55:00,1,7,3,1
426,9,2025-01-22T16:23:00,1,6,1,0
281,47,2025-01-29T01:03:00,1,5,0,1
215,41,2025-01-29T16:16:00,1,6,2,1
264,37,2025-01-12T08:15:00,1,3,1,0
96,43,2025-01-05T05:30:00,0,4,2,0
260,36,2025-01-02T06:12:00,0,7,0,0
9,23,2025-01-04T09:47:00,0,9,0,0
171,9,2025-01-03T08:25:00,0,7,0,0
357,31,2025-01-30T02:01:00,2,8,0,1
104,3,2025-01-10T09:52:00,3,6,0,0
243,17,2025-01-02T23:59:00,2,5,0,0
170,18,2025-01-06T23:57:00,2,3,0,0
174,12,2025-01-23T21:59:00,1,3,1,1
218,6,2025-01-20T22:20:00,0,1,0,1
339,19,2025-01-15T06:46:00,0,6,1,1
373,23,2025-01-29T07:34:00,3,7,3,1
327,26,2025-01-17T20:49:00,0,4,1,0
348,29,2025-01-02T22:00:00,3,9,0,0
17,39,2025-01-08T07:35:00,0,0,0,0
272,24,2025-01-19T10:45:00,1,8,1,1
266,25,2025-01-26T21:29:00,4,12,0,0
356,32,2025-01-10T10:38:00,4,13,0,1
45,44,2025-01-15T21:04:00,0,0,0,0
81,46,2025-01-30T08:32:00,2,9,1,1
122,32,2025-01-02T12:42:00,0,7,0,1
453,6,2025-01-04T07:48:00,0,16,0,0
422,37,2025-01-04T16:33:00,3,9,2,1
66,50,2025-01-26T10:10:00,1,4,2,0
29,8,2025-01-24T21:54:00,2,8,0,1
482,34,2025-01-14T06:15:00,2,5,0,1
156,40,2025-01-25T14:42:00,4,11,0,1
320,47,2025-01-28T20:58:00,0,10,2,1
486,42,2025-01-27T13:59:00,1,8,0,1
456,41,2025-01-26T03:54:00,0,12,0,0
153,30,2025-01-04T15:42:00,1,4,0,1
74,21,2025-01-15T20:46:00,1,0,1,0
288,7,2025-01-15T20:33:00,2,8,0,1
485,25,2025-01-29T08:09:00,0,8,2,0
370,21,2025-01-09T23:20:00,2,3,0,1
12,6,2025-01-19T05:31:00,0,4,1,1
254,39,2025-01-31T02:37:00,1,3,1,1
136,47,2025-01-17T23:31:00,2,4,0,1
284,19,2025-01-04T16:18:00,0,7,0,0
313,8,2025-01-07T04:32:00,3,7,1,0
387,10,2025-01-10T09:25:00,0,3,1,0
412,31,2025-01-24T23:14:00,0,6,0,0
84,26,2025-01-29T09:22:00,1,3,0,1
363,37,2025-01-14T23:27:00,1,6,0,1
158,47,2025-01-29T23:19:00,4,9,2,0
296,15,2025-01-03T16:05:00,0,4,0,0
76,44,2025-01-12T08:32:00,6,12,1,1
78,27,2025-01-10T14:42:00,0,7,2,0
32,46,2025-01-07T14:49:00,0,4,2,1
490,12,2025-01-22T06:04:00,3,6,0,0
330,45,2025-01-13T08:45:00,0,3,1,1
499,20,2025-01-14T11:40:00,1,1,0,0
479,47,2025-01-13T18:41:00,1,9,0,0
177,50,2025-01-07T23:59:00,1,8,0,0
132,48,2025-01-23T03:16:00,2,12,0,1
56,40,2025-01-28T00:58:00,2,7,1,1
52,27,2025-01-16T08:46:00,1,4,1,0
476,11,2025-01-19T20:27:00,0,0,0,0
148,21,2025-01-14T07:44:00,0,0,2,1
371,3,2025-01-09T07:13:00,0,7,1,0
404,32,2025-01-09T19:30:00,6,8,2,1
291,39,2025-01-06T05:12:00,3,6,0,0
456,9,2025-01-24T06:44:00,0,5,1,1
132,46,2025-01-09T19:22:00,3,8,0,1
313,41,2025-01-19T18:54:00,3,4,2,1
72,31,2025-01-16T01:27:00,2,6,0,1
169,20,2025-01-27T20:12:00,1,5,0,1
61,30,2025-01-15T07:06:00,3,11,2,0
354,8,2025-01-30T09:38:00,3,6,0,1
79,30,2025-01-28T21:37:00,0,8,2,0
423,14,2025-01-12T14:17:00,0,1,1,0
186,5,2025-01-27T00:13:00,4,12,1,1
85,21,2025-01-25T00:21:00,0,6,0,0
229,4,2025-01-21T23:16:00,3,10,0,0
158,47,2025-01-02T07:46:00,0,8,0,1
177,45,2025-01-04T05:38:00,1,5,3,0
147,27,2025-01-09T12:35:00,2,1,2,1
457,25,2025-01-21T17:55:00,4,4,0,0
277,9,2025-01-31T01:50:00,2,5,1,1
115,1,2025-01-02T08:49:00,4,8,0,0
118,16,2025-01-22T07:07:00,1,7,2,1
415,43,2025-01-20T09:55:00,0,0,1,1
305,3,2025-01-21T15:37:00,0,2,2,1
120,35,2025-01-11T05:18:00,2,1,3,1
470,47,2025-01-27T13:15:00,0,8,0,0
74,43,2025-01-25T01:20:00,2,9,3,0
467,12,2025-01-29T19:45:00,0,1,1,0
196,34,2025-01-15T20:08:00,1,3,0,0
124,15,2025-01-15T00:29:00,2,5,0,0
214,36,2025-01-25T10:53:00,2,8,1,0
434,24,2025-01-05T12:59:00,0,3,1,0
21,5,2025-01-09T21:31:00,2,3,0,1
465,22,2025-01-15T03:09:00,2,6,3,1
387,31,2025-01-12T08:58:00,0,0,0,1
145,25,2025-01-22T13:16:00,0,4,0,1
51,47,2025-01-22T16:48:00,2,4,1,1
443,15,2025-01-07T23:23:00,4,9,0,1
101,22,2025-01-11T19:14:00,0,8,0,0
132,49,2025-01-23T13:42:00,4,8,0,0
87,9,2025-01-26T04:58:00,0,5,0,1
18,5,2025-01-03T12:59:00,2,3,1,0
5,14,2025-01-24T08:23:00,1,6,0,0
338,32,2025-01-02T01:10:00,4,9,2,1
147,2,2025-01-24T04:33:00,3,3,1,1
50,34,2025-01-08T02:38:00,2,11,0,0
41,24,2025-01-19T19:29:00,0,5,0,0
42,42,2025-01-30T21:51:00,2,5,0,1
5,45,2025-01-09T03:11:00,5,12,0,0
499,7,2025-01-25T08:53:00,3,6,2,0
139,3,2025-01-04T17:12:00,1,3,0,1
436,21,2025-01-02T01:06:00,4,8,1,0
40,20,2025-01-08T17:26:00,0,3,1,0
197,49,2025-01-07T16:51:00,2,2,2,1
51,28,2025-01-11T21:33:00,2,4,1,0
397,21,2025-01-02T16:21:00,0,1,0,0
193,28,2025-01-09T18:52:00,0,1,2,0
366,5,2025-01-05T01:36:00,1,8,1,0
185,7,2025-01-05T11:57:00,3,8,0,1
96,28,2025-01-21T18:15:00,0,3,1,0
306,39,2025-01-16T02:21:00,2,6,0,0
287,16,2025-01-27T08:43:00,0,4,1,1
75,5,2025-01-08T22:38:00,0,6,0,1
127,47,2025-01-29T18:42:00,0,5,0,1
203,22,2025-01-29T13:24:00,0,9,0,0
334,39,2025-01-07T12:41:00,1,9,0,1
204,21,2025-01-14T14:20:00,1,1,2,1
144,26,2025-01-17T22:41:00,3,10,0,0
282,2,2025-01-22T08:12:00,3,7,1,1
435,27,2025-01-24T01:22:00,3,9,0,1
194,5,2025-01-21T18:30:00,4,8,0,0
355,27,2025-01-26T01:48:00,7,13,0,0
469,6,2025-01-06T07:27:00,2,2,0,1
331,44,2025-01-30T18:24:00,0,7,2,1
133,15,2025-01-24T13:47:00,1,2,0,0
238,50,2025-01-28T02:53:00,1,4,2,1
472,6,2025-01-06T14:46:00,3,3,0,0
267,31,2025-01-17T04:26:00,0,5,0,0
415,46,2025-01-06T13:42:00,3,8,2,0
380,16,2025-01-24T19:36:00,2,8,0,1
208,41,2025-01-09T17:28:00,3,12,0,0
231,38,2025-01-20T21:11:00,0,8,1,0
33,37,2025-01-05T23:08:00,2,3,0,1
344,32,2025-01-25T08:24:00,3,7,0,1
181,30,2025-01-29T10:19:00,3,11,1,0
345,9,2025-01-15T14:04:00,3,9,1,1
215,39,2025-01-07T14:35:00,0,3,0,0
477,12,2025-01-26T14:06:00,2,9,1,1
444,23,2025-01-01T18:28:00,0,5,0,0
210,44,2025-01-23T17:05:00,0,7,0,1
390,15,2025-01-14T15:02:00,3,8,0,1
396,50,2025-01-23T21:00:00,1,5,2,0
188,35,2025-01-03T05:26:00,2,3,1,0
335,49,2025-01-12T14:22:00,0,15,0,0
225,8,2025-01-12T02:48:00,2,11,0,0
220,11,2025-01-29T09:00:00,2,8,1,1
144,39,2025-01-25T20:28:00,4,16,0,0
264,44,2025-01-05T16:00:00,4,12,0,1
336,9,2025-01-07T08:56:00,2,11,1,0
251,10,2025-01-27T14:42:00,0,1,0,0
394,6,2025-01-19T16:01:00,0,4,1,0
168,38,2025-01-01T10:42:00,4,4,3,1
358,23,2025-01-04T05:10:00,2,4,2,0
166,19,2025-01-16T16:55:00,0,4,2,0
391,4,2025-01-03T10:10:00,4,12,0,0
226,30,2025-01-01T08:44:00,4,8,3,0
155,11,2025-01-13T19:18:00,3,9,2,1
27,26,2025-01-29T19:19:00,0,9,1,1
1,14,2025-01-23T00:48:00,4,10,0,1
176,8,2025-01-20T13:16:00,1,2,1,0
53,21,2025-01-18T01:28:00,2,5,1,1
347,10,2025-01-04T10:43:00,1,5,0,0
322,48,2025-01-08T05:20:00,4,6,0,0
72,49,2025-01-06T22:31:00,0,3,1,1
142,42,2025-01-05T04:01:00,2,11,0,0
14,43,2025-01-15T01:28:00,2,10,1,1
402,16,2025-01-23T20:32:00,0,6,0,0
7,24,2025-01-15T17:40:00,4,13,0,0
391,31,2025-01-04T15:43:00,2,7,0,1
405,26,2025-01-24T09:21:00,1,10,1,0
328,35,2025-01-25T19:15:00,0,3,0,1
414,10,2025-01-25T17:52:00,0,8,1,0
159,45,2025-01-21T05:51:00,1,0,1,0
233,40,2025-01-29T01:00:00,4,10,0,1
71,45,2025-01-01T20:23:00,4,15,0,0
86,24,2025-01-07T02:38:00,1,0,0,0
172,28,2025-01-13T17:04:00,0,4,2,0
262,24,2025-01-03T20:33:00,0,5,0,1
294,44,2025-01-06T13:58:00,2,10,2,1
242,24,2025-01-18T18:18:00,3,7,1,0
366,48,2025-01-31T04:12:00,0,6,0,1
40,37,2025-01-18T07:12:00,4,12,1,1
24,26,2025-01-04T11:17:00,4,4,1,1
234,1,2025-01-18T02:57:00,2,10,0,1
303,32,2025-01-10T05:27:00,1,2,1,0
13,15,2025-01-25T23:30:00,0,9,2,1
337,25,2025-01-15T07:53:00,3,10,1,1
73,46,2025-01-14T01:38:00,5,13,1,0
191,30,2025-01-05T04:44:00,0,3,0,0
32,28,2025-01-07T06:46:00,2,9,0,1
377,21,2025-01-15T19:24:00,0,5,1,0
56,10,2025-01-06T03:24:00,3,10,0,0
107,29,2025-01-15T08:45:00,0,6,2,1
361,45,2025-01-28T18:58:00,5,11,0,1
183,26,2025-01-24T16:50:00,3,8,1,0
438,29,2025-01-26T15:14:00,1,3,0,1
7,4,2025-01-11T10:47:00,4,13,0,1
299,38,2025-01-13T02:42:00,2,6,1,0
415,9,2025-01-05T12:27:00,5,6,0,1
87,37,2025-01-21T01:07:00,2,4,2,1
110,12,2025-01-13T20:21:00,1,12,2,1
152,32,2025-01-20T02:00:00,3,5,1,1
330,34,2025-01-12T16:08:00,0,1,1,0
184,31,2025-01-26T02:45:00,2,4,0,1
14,21,2025-01-28T12:12:00,2,13,1,0
272,23,2025-01-27T21:52:00,7,11,2,1
418,48,2025-01-03T21:04:00,2,0,0,0
479,12,2025-01-09T08:20:00,2,9,0,0
361,45,2025-01-17T08:07:00,4,7,0,0
452,32,2025-01-26T00:08:00,1,9,1,1
270,31,2025-01-01T08:44:00,0,8,1,1
411,21,2025-01-04T01:03:00,4,9,2,0
441,24,2025-01-04T15:13:00,0,10,0,1
70,11,2025-01-21T05:10:00,3,0,0,0
356,40,2025-01-17T13:44:00,2,10,1,0
66,12,2025-01-01T09:57:00,6,8,0,0
17,12,2025-01-28T17:58:00,0,9,0,1
255,10,2025-01-16T09:43:00,1,3,1,0
46,46,2025-01-30T10:04:00,1,3,1,0
180,17,2025-01-06T06:00:00,1,5,0,1
212,32,2025-01-18T13:39:00,0,7,1,0
389,44,2025-01-11T14:23:00,2,8,1,1
488,7,2025-01-04T17:02:00,0,10,1,0
48,22,2025-01-28T08:50:00,6,10,0,0
311,28,2025-01-08T11:35:00,3,8,2,1
474,47,2025-01-25T21:57:00,1,8,1,0
431,32,2025-01-08T07:45:00,2,7,2,1
246,13,2025-01-05T17:56:00,3,8,0,0
158,26,2025-01-22T18:23:00,0,5,2,1
454,25,2025-01-18T03:29:00,2,7,0,0
289,4,2025-01-08T05:04:00,2,2,1,0
498,49,2025-01-28T04:08:00,2,8,0,0
352,31,2025-01-27T09:33:00,3,5,2,1
258,37,2025-01-24T20:30:00,2,2,0,0
89,11,2025-01-10T23:26:00,2,5,0,1
422,41,2025-01-08T01:31:00,2,4,2,1
199,36,2025-01-19T10:01:00,0,3,0,1
359,40,2025-01-28T01:47:00,0,4,0,0
389,7,2025-01-06T03:22:00,1,5,0,1
211,17,2025-01-18T18:23:00,0,1,0,0
317,39,2025-01-19T14:47:00,6,12,0,0
472,18,2025-01-18T06:48:00,5,10,0,1
357,44,2025-01-05T19:16:00,3,7,0,0
165,18,2025-01-20T07:13:00,1,5,0,1
249,49,2025-01-24T20:09:00,4,4,0,1
260,26,2025-01-07T12:09:00,2,3,0,0
103,4,2025-01-12T16:30:00,2,7,0,1
238,33,2025-01-19T09:34:00,1,4,1,0
91,31,2025-01-28T01:01:00,0,4,1,0
47,19,2025-01-02T13:58:00,1,7,0,0
332,15,2025-01-10T17:48:00,1,9,2,0
5,31,2025-01-07T08:31:00,0,1,1,0
157,46,2025-01-30T14:02:00,1,12,1,1
155,44,2025-01-25T00:40:00,2,4,1,0
432,24,2025-01-26T21:15:00,0,1,0,1
142,41,2025-01-16T03:08:00,3,6,0,0
77,34,2025-01-12T06:28:00,4,5,1,0
349,9,2025-01-02T11:48:00,0,0,0,1
19,38,2025-01-27T08:49:00,2,4,0,0
244,43,2025-01-17T15:34:00,0,4,2,0
50,31,2025-01-07T03:44:00,1,1,0,0
461,22,2025-01-31T02:49:00,3,9,0,0
170,24,2025-01-13T04:36:00,0,3,1,0
298,40,2025-01-04T13:47:00,0,5,2,1
212,4,2025-01-08T04:41:00,2,8,0,0
235,10,2025-01-15T17:34:00,2,5,1,0
161,41,2025-01-03T23:21:00,3,8,1,0
251,49,2025-01-05T08:09:00,3,10,0,1
3,3,2025-01-25T15:01:00,2,9,1,0
98,2,2025-01-01T12:30:00,0,3,0,1
197,33,2025-01-28T02:59:00,1,7,3,1
267,39,2025-01-25T04:28:00,0,10,1,0
184,49,2025-01-09T21:48:00,4,14,1,1
68,14,2025-01-02T07:56:00,0,4,0,1
449,41,2025-01-12T23:23:00,2,2,0,1
429,2,2025-01-03T12:41:00,1,3,0,1
79,14,2025-01-30T00:28:00,4,9,1,1
359,9,2025-01-20T09:28:00,2,5,0,1
55,32,2025-01-10T08:58:00,0,1,2,0
210,19,2025-01-08T15:10:00,4,9,1,1
2,1,2025-01-05T09:12:00,5,6,0,1
262,5,2025-01-05T22:38:00,4,6,0,1
26,7,2025-01-09T06:49:00,4,4,0,1
60,7,2025-01-03T10:07:00,3,8,0,0
490,40,2025-01-13T13:03:00,2,6,1,0
493,30,2025-01-13T16:54:00,3,4,0,0
86,8,2025-01-07T08:44:00,1,5,1,0
303,31,2025-01-27T05:26:00,1,4,0,1
351,47,2025-01-07T06:42:00,0,5,1,1
336,21,2025-01-01T21:30:00,1,1,1,0
490,43,2025-01-16T17:30:00,0,4,0,0
247,23,2025-01-30T12:35:00,0,8,0,1
330,11,2025-01-24T08:12:00,4,4,1,0
124,22,2025-01-13T23:49:00,3,8,0,1
236,29,2025-01-27T09:54:00,0,6,0,0
335,2,2025-01-06T00:06:00,1,6,0,0
494,40,2025-01-30T08:21:00,1,9,1,0
187,4,2025-01-11T11:29:00,3,5,1,0
187,46,2025-01-21T22:17:00,4,12,1,0
494,19,2025-01-26T06:13:00,0,4,1,1
368,48,2025-01-19T22:58:00,4,11,1,1
235,13,2025-01-16T17:06:00,3,9,2,0
396,29,2025-01-22T03:35:00,0,0,1,0
25,36,2025-01-21T00:44:00,3,5,0,1
297,12,2025-01-07T04:13:00,4,11,0,0
215,39,2025-01-12T15:08:00,1,13,2,1
212,39,2025-01-24T15:33:00,1,10,2,0
324,14,2025-01-10T11:25:00,2,11,0,1
364,42,2025-01-09T10:13:00,0,4,0,1
246,38,2025-01-27T07:17:00,4,7,0,0
450,28,2025-01-01T21:56:00,1,5,1,1
385,11,2025-01-14T09:03:00,1,4,2,1
278,3,2025-01-17T15:46:00,2,5,2,0
381,42,2025-01-26T21:03:00,0,7,1,0
25,25,2025-01-18T23:18:00,0,7,0,1
381,17,2025-01-10T13:49:00,0,1,2,0
361,46,2025-01-30T19:23:00,0,7,0,0
100,19,2025-01-21T18:13:00,3,12,1,1
194,3,2025-01-20T20:02:00,1,8,2,1
239,46,2025-01-08T09:05:00,6,12,0,0
432,43,2025-01-15T00:56:00,0,5,0,1
113,12,2025-01-25T00:38:00,4,10,0,1
114,14,2025-01-16T10:30:00,1,8,2,0
288,49,2025-01-30T21:12:00,4,9,0,1
319,16,2025-01-03T03:33:00,1,3,3,0
277,47,2025-01-14T04:55:00,4,9,1,0
250,3,2025-01-14T19:47:00,3,6,0,1
490,50,2025-01-25T19:36:00,0,4,1,1
351,28,2025-01-06T01:30:00,3,13,2,1
419,5,2025-01-08T07:56:00,5,10,1,1
129,36,2025-01-04T12:56:00,0,4,0,0
222,21,2025-01-02T02:26:00,1,6,2,1
382,38,2025-01-03T09:42:00,1,4,1,0
155,39,2025-01-05T06:29:00,1,12,0,1
81,35,2025-01-11T08:09:00,3,10,1,0
74,20,2025-01-30T19:43:00,0,10,0,1
3,37,2025-01-28T11:42:00,0,7,1,0
372,23,2025-01-10T23:16:00,0,7,0,1
428,17,2025-01-10T04:15:00,4,11,0,0
282,30,2025-01-30T16:09:00,0,4,1,0
250,22,2025-01-17T14:05:00,4,12,2,0
163,32,2025-01-21T20:13:00,0,8,0,0
414,21,2025-01-20T19:49:00,2,9,1,0
142,24,2025-01-07T10:41:00,1,3,0,0
250,36,2025-01-06T06:52:00,3,11,2,1
